iter	Passed	Remaining
0	1	192
1	3	171
2	4	159
3	6	155
4	7	151
5	9	149
6	11	149
7	12	148
8	14	147
9	16	145
10	17	141
11	19	141
12	20	138
13	22	136
14	23	133
15	25	131
16	26	130
17	28	129
18	29	127
19	31	125
20	33	124
21	34	122
22	36	120
23	37	119
24	39	119
25	41	117
26	42	115
27	44	114
28	46	113
29	47	111
30	49	109
31	50	107
32	51	105
33	53	103
34	55	102
35	56	100
36	57	98
37	59	96
38	60	94
39	61	92
40	63	91
41	64	89
42	66	87
43	67	85
44	69	84
45	70	82
46	72	81
47	74	80
48	75	78
49	77	77
50	79	76
51	80	74
52	82	72
53	83	71
54	85	69
55	87	68
56	88	67
57	90	65
58	91	63
59	93	62
60	95	60
61	97	59
62	98	57
63	100	56
64	101	54
65	103	53
66	104	51
67	106	50
68	108	48
69	110	47
70	112	45
71	115	45
72	138	51
73	151	53
74	154	51
75	157	49
76	158	47
77	160	45
78	161	42
79	163	40
80	165	38
81	166	36
82	168	34
83	169	32
84	171	30
85	173	28
86	174	26
87	176	24
88	177	21
89	178	19
90	180	17
91	182	15
92	183	13
93	185	11
94	187	9
95	189	7
96	190	5
97	192	3
98	193	1
99	195	0
