iter	Passed	Remaining
0	1	1902
1	3	1637
2	4	1528
3	5	1484
4	7	1475
5	8	1477
6	10	1461
7	12	1572
8	14	1594
9	16	1655
10	18	1620
11	19	1589
12	21	1599
13	22	1571
14	23	1555
15	24	1531
16	26	1520
17	28	1546
18	30	1573
19	32	1599
20	33	1581
21	35	1590
22	37	1591
23	38	1573
24	39	1558
25	41	1542
26	43	1559
27	44	1555
28	47	1577
29	48	1569
30	49	1555
31	51	1545
32	52	1533
33	53	1525
34	55	1520
35	58	1558
36	60	1562
37	61	1556
38	63	1555
39	65	1578
40	68	1601
41	69	1591
42	71	1587
43	73	1592
44	74	1589
45	76	1584
46	77	1581
47	79	1574
48	80	1566
49	81	1557
50	83	1556
51	85	1552
52	87	1563
53	89	1560
54	90	1559
55	92	1555
56	93	1546
57	94	1540
58	96	1532
59	97	1525
60	98	1518
61	99	1511
62	102	1522
63	103	1519
64	105	1518
65	106	1512
66	108	1506
67	109	1502
68	111	1498
69	112	1493
70	113	1487
71	114	1481
72	116	1485
73	118	1485
74	119	1479
75	121	1473
76	122	1467
77	123	1461
78	124	1455
79	126	1451
80	127	1446
81	128	1443
82	129	1433
83	131	1436
84	133	1440
85	135	1438
86	136	1433
87	137	1429
88	139	1425
89	140	1421
90	141	1417
91	143	1413
92	144	1409
93	146	1416
94	148	1415
95	149	1410
96	151	1405
97	152	1403
98	153	1400
99	155	1396
100	156	1391
101	157	1389
102	159	1386
103	161	1392
104	163	1390
105	164	1385
106	165	1381
107	166	1377
108	168	1373
109	169	1371
110	170	1367
111	171	1362
112	173	1358
113	174	1358
114	176	1361
115	178	1358
116	179	1353
117	180	1351
118	182	1347
119	183	1344
120	184	1341
121	185	1336
122	187	1333
123	188	1331
124	190	1335
125	192	1336
126	194	1335
127	195	1335
128	198	1338
129	200	1340
130	202	1341
131	203	1339
132	205	1338
133	206	1337
134	208	1335
135	209	1331
136	211	1331
137	212	1328
138	214	1327
139	215	1325
140	216	1321
141	217	1316
142	219	1314
143	221	1316
144	222	1314
145	224	1313
146	225	1310
147	227	1307
148	228	1307
149	230	1304
150	231	1303
151	233	1300
152	235	1304
153	237	1303
154	238	1301
155	240	1298
156	241	1295
157	242	1294
158	244	1292
159	245	1288
160	246	1283
161	247	1281
162	249	1280
163	251	1281
164	252	1278
165	253	1275
166	255	1272
167	257	1274
168	259	1274
169	261	1276
170	263	1276
171	266	1285
172	268	1285
173	271	1286
174	272	1285
175	274	1283
176	275	1281
177	277	1280
178	278	1278
179	280	1278
180	282	1278
181	284	1277
182	285	1274
183	286	1272
184	288	1270
185	289	1269
